movie_id,title,genre,keywords,cast,director,description,rating,popularity
20,John Wick,Action Thriller Crime,assassin revenge gunfight,Keanu Reeves|Ian McShane|Willem Dafoe,Chad Stahelski,A retired assassin returns to action after a personal loss.,7.43,9918
21,Mad Max Fury Road,Action Adventure Sci-Fi,desert survival chase dystopia,Tom Hardy|Charlize Theron|Nicholas Hoult,George Miller,A group escapes across a dangerous post-apocalyptic desert.,8.1,10625
22,The Hunger Games,Action Adventure Sci-Fi Drama,dystopia survival competition rebellion,Jennifer Lawrence|Josh Hutcherson|Woody Harrelson,Gary Ross,A young woman enters a dangerous televised survival competition.,7.22,10014
23,Ready Player One,Action Adventure Sci-Fi,virtual reality gaming future,Tye Sheridan|Olivia Cooke|Ben Mendelsohn,Steven Spielberg,A teenager enters a huge virtual world to compete for a valuable prize.,7.44,10338
24,Free Guy,Action Comedy Sci-Fi,video game virtual world hero,Ryan Reynolds|Jodie Comer|Taika Waititi,Shawn Levy,A bank employee discovers that he is a character in a video game.,7.11,10194
25,The Social Network,Drama Biography,technology startup friendship,Jesse Eisenberg|Andrew Garfield|Justin Timberlake,David Fincher,A college student creates a social network that changes the world.,7.83,10943
26,Oppenheimer,Drama Biography History,science atomic bomb war scientist,Cillian Murphy|Emily Blunt|Robert Downey Jr,Christopher Nolan,A scientist leads a major wartime research project with historic consequences.,8.6,11735
27,The Pursuit of Happyness,Drama Biography Family,career father son motivation,Will Smith|Jaden Smith|Thandiwe Newton,Gabriele Muccino,A struggling father works hard to build a better future for his son.,8.02,11379
28,Forrest Gump,Drama Romance Comedy,life friendship history journey,Tom Hanks|Robin Wright|Gary Sinise,Robert Zemeckis,A kind man experiences major events while following his own path.,8.84,12213
29,The Shawshank Redemption,Drama Crime,prison friendship hope,Tim Robbins|Morgan Freeman|Bob Gunton,Frank Darabont,A prisoner builds friendship and hope while serving a long sentence.,9.31,12749
30,Good Will Hunting,Drama Romance,genius friendship mathematics,Matt Damon|Robin Williams|Ben Affleck,Gus Van Sant,A gifted young man receives guidance while dealing with personal struggles.,8.33,12053
31,La La Land,Comedy Drama Romance,music jazz dreams love,Ryan Gosling|Emma Stone|John Legend,Damien Chazelle,Two artists pursue their dreams while falling in love in Los Angeles.,8.0,11910
32,The Notebook,Drama Romance,love relationship memory,Ryan Gosling|Rachel McAdams|James Garner,Nick Cassavetes,A lifelong love story is remembered through an old notebook.,7.82,11894
33,Knives Out,Comedy Crime Mystery,detective murder mansion family,Daniel Craig|Ana de Armas|Chris Evans,Rian Johnson,A detective investigates a mysterious death inside a wealthy family.,7.94,12133
34,The Conjuring,Horror Mystery Thriller,haunted house ghost family,Vera Farmiga|Patrick Wilson|Lili Taylor,James Wan,Paranormal investigators help a family facing supernatural activity.,7.51,11904
35,A Quiet Place,Horror Sci-Fi Thriller,monsters survival family silence,Emily Blunt|John Krasinski|Millicent Simmonds,John Krasinski,A family survives in silence while dangerous creatures hunt by sound.,7.53,12058
36,Get Out,Horror Mystery Thriller,family hypnosis mystery,Daniel Kaluuya|Allison Williams|Bradley Whitford,Jordan Peele,A young man discovers disturbing secrets while visiting his girlfriend's family.,7.7,12340
37,Train to Busan,Action Horror Thriller,zombies train survival outbreak,Gong Yoo|Jung Yu-mi|Ma Dong-seok,Yeon Sang-ho,Passengers fight to survive a zombie outbreak aboard a train.,7.62,12409
38,The Grand Budapest Hotel,Comedy Drama Adventure,hotel friendship mystery europe,Ralph Fiennes|Tony Revolori|Adrien Brody,Wes Anderson,A hotel concierge and his young assistant become involved in a mysterious adventure.,8.14,12988
39,Catch Me If You Can,Crime Drama Biography,con artist FBI identity fraud,Leonardo DiCaprio|Tom Hanks|Christopher Walken,Steven Spielberg,A young con artist stays ahead of an FBI agent while changing identities.,8.11,13099
40,The Departed,Crime Drama Thriller,police mafia undercover crime,Leonardo DiCaprio|Matt Damon|Jack Nicholson,Martin Scorsese,An undercover police officer and a criminal informant work inside rival organizations.,8.53,13593
41,Fight Club,Drama Thriller,identity rebellion friendship underground,Brad Pitt|Edward Norton|Helena Bonham Carter,David Fincher,A dissatisfied worker forms an underground club that grows beyond control.,8.8,13960
42,The Prestige,Drama Mystery Sci-Fi,magic rivalry illusion obsession,Christian Bale|Hugh Jackman|Scarlett Johansson,Christopher Nolan,Two rival magicians become obsessed with creating the perfect illusion.,8.52,13859
43,Memento,Mystery Thriller Drama,memory detective revenge crime,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano,Christopher Nolan,A man with short-term memory loss investigates a mysterious crime.,8.44,13928
44,The Truman Show,Comedy Drama Sci-Fi,television reality life mystery,Jim Carrey|Laura Linney|Ed Harris,Peter Weir,A man slowly discovers that his entire life is being filmed for television.,8.21,13869
45,Back to the Future,Adventure Comedy Sci-Fi,time travel car teenager,Michael J Fox|Christopher Lloyd|Lea Thompson,Robert Zemeckis,A teenager travels through time using a modified car.,8.53,14278
46,Alien,Horror Sci-Fi Thriller,space creature survival crew,Sigourney Weaver|Tom Skerritt|John Hurt,Ridley Scott,A space crew encounters a deadly creature aboard their spacecraft.,8.5,14390
47,Edge of Tomorrow,Action Sci-Fi,time loop alien war soldier,Tom Cruise|Emily Blunt|Bill Paxton,Doug Liman,A soldier relives the same battle repeatedly while fighting an alien invasion.,7.92,14034
48,Pacific Rim,Action Sci-Fi Adventure,robots monsters ocean battle,Charlie Hunnam|Idris Elba|Rinko Kikuchi,Guillermo del Toro,Giant robots fight enormous creatures emerging from the ocean.,6.94,13338
49,Men in Black,Action Comedy Sci-Fi,aliens secret agents government,Will Smith|Tommy Lee Jones|Linda Fiorentino,Barry Sonnenfeld,Secret agents protect Earth from hidden alien activity.,7.31,13789
50,E.T.,Adventure Sci-Fi Family,alien friendship children space,Henry Thomas|Drew Barrymore|Dee Wallace,Steven Spielberg,A child helps a stranded alien return home.,7.93,14453
51,Toy Story,Animation Comedy Adventure,toys friendship childhood,Tom Hanks|Tim Allen|Don Rickles,John Lasseter,Living toys learn about friendship when a new toy arrives.,8.3,14905
52,Finding Nemo,Animation Adventure Comedy,ocean fish family friendship,Albert Brooks|Ellen DeGeneres|Alexander Gould,Andrew Stanton,A father fish crosses the ocean to find his missing son.,8.22,14974
53,The Lion King,Animation Adventure Drama,lion family kingdom friendship,Matthew Broderick|Jeremy Irons|James Earl Jones,Roger Allers,A young lion learns to accept his responsibility as king.,8.54,15382
54,Coco,Animation Adventure Fantasy,music family mexico memory,Anthony Gonzalez|Gael Garcia Bernal|Benjamin Bratt,Lee Unkrich,A young musician enters the world of the dead to discover his family history.,8.41,15409
55,Inside Out,Animation Comedy Drama,emotions childhood family,Amy Poehler|Phyllis Smith|Bill Hader,Pete Docter,A girl's emotions help her adapt to a major change in her life.,8.13,15308
56,Up,Animation Adventure Comedy,house journey friendship,Ed Asner|Christopher Plummer|Jordan Nagai,Pete Docter,An elderly man travels to a distant place with a young companion.,8.3,15590
57,Ratatouille,Animation Comedy Drama,cooking chef paris food,Patton Oswalt|Ian Holm|Lou Romano,Brad Bird,A talented rat dreams of becoming a chef in Paris.,8.12,15573
58,Avatar The Journey,Action Adventure Fantasy,alien planet space survival,Sam Worthington|Zoe Saldana|Sigourney Weaver,James Cameron,A marine joins an alien world and fights to protect its people. This new chapter explores another challenge involving the same themes.,7.79,15430
59,Titanic The Journey,Drama Romance,love ship ocean tragedy,Leonardo DiCaprio|Kate Winslet|Billy Zane,James Cameron,A young couple falls in love aboard a famous ocean liner. This new chapter explores another challenge involving the same themes.,7.86,15627
60,The Avengers The Journey,Action Adventure Sci-Fi,superhero marvel team alien,Robert Downey Jr|Chris Evans|Scarlett Johansson,Joss Whedon,Superheroes join forces to protect Earth from a powerful enemy. This new chapter explores another challenge involving the same themes.,7.98,15866
61,Iron Man The Journey,Action Adventure Sci-Fi,superhero technology armor marvel,Robert Downey Jr|Gwyneth Paltrow|Jeff Bridges,Jon Favreau,A genius inventor creates a powerful armored suit. This new chapter explores another challenge involving the same themes.,7.85,15892
62,Interstellar The Journey,Sci-Fi Drama Adventure,space astronaut planet time,Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan,Astronauts travel through space searching for a new home for humanity. This new chapter explores another challenge involving the same themes.,8.67,16726
63,Inception The Journey,Action Sci-Fi Thriller,dream heist mind technology,Leonardo DiCaprio|Joseph Gordon-Levitt|Tom Hardy,Christopher Nolan,A skilled thief enters dreams to steal valuable information. This new chapter explores another challenge involving the same themes.,8.79,16965
64,The Dark Knight The Journey,Action Crime Drama,batman joker superhero crime,Christian Bale|Heath Ledger|Gary Oldman,Christopher Nolan,Batman faces a dangerous criminal who creates chaos in Gotham. This new chapter explores another challenge involving the same themes.,8.96,17247
65,Jurassic Park The Journey,Adventure Sci-Fi Thriller,dinosaurs island science survival,Sam Neill|Laura Dern|Jeff Goldblum,Steven Spielberg,Scientists create a dinosaur park that becomes dangerously uncontrollable. This new chapter explores another challenge involving the same themes.,8.18,16721
66,The Matrix The Journey,Action Sci-Fi Thriller,computer virtual reality hacker,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,The Wachowskis,A computer hacker discovers that reality is a sophisticated simulation. This new chapter explores another challenge involving the same themes.,8.65,17257
67,Guardians of the Galaxy The Journey,Action Adventure Sci-Fi Comedy,space superhero marvel team,Chris Pratt|Zoe Saldana|Dave Bautista,James Gunn,A group of unusual heroes protects the galaxy from a powerful threat. This new chapter explores another challenge involving the same themes.,7.97,16816
68,Doctor Strange The Journey,Action Adventure Fantasy,magic superhero marvel multiverse,Benedict Cumberbatch|Rachel McAdams|Chiwetel Ejiofor,Scott Derrickson,A surgeon learns mystical powers and protects reality from magical threats. This new chapter explores another challenge involving the same themes.,7.49,16545
69,Black Panther The Journey,Action Adventure Sci-Fi,superhero wakanda africa marvel,Chadwick Boseman|Michael B Jordan|Lupita Nyongo,Ryan Coogler,A new king protects Wakanda from an ambitious rival. This new chapter explores another challenge involving the same themes.,7.26,16487
70,The Lord of the Rings The Journey,Adventure Fantasy Drama,magic ring middle earth quest,Elijah Wood|Ian McKellen|Viggo Mortensen,Peter Jackson,A young hobbit begins a dangerous quest to destroy a powerful ring. This new chapter explores another challenge involving the same themes.,8.78,17915
71,Harry Potter The Journey,Adventure Fantasy Family,magic wizard school friendship,Daniel Radcliffe|Emma Watson|Rupert Grint,Chris Columbus,A young wizard begins his education at a magical school. This new chapter explores another challenge involving the same themes.,7.55,17007
72,Star Wars The Journey,Action Adventure Sci-Fi,space jedi rebellion empire,Mark Hamill|Harrison Ford|Carrie Fisher,George Lucas,A young hero joins a rebellion against a powerful space empire. This new chapter explores another challenge involving the same themes.,8.57,18011
73,Dune The Journey,Sci-Fi Adventure Drama,desert space politics prophecy,Timothee Chalamet|Zendaya|Rebecca Ferguson,Denis Villeneuve,A young noble enters a dangerous desert world filled with political conflict. This new chapter explores another challenge involving the same themes.,7.99,17655
74,The Martian The Journey,Sci-Fi Adventure Drama,mars astronaut survival space,Matt Damon|Jessica Chastain|Jeff Daniels,Ridley Scott,An astronaut stranded on Mars uses science and determination to survive. This new chapter explores another challenge involving the same themes.,7.96,7767
75,Gravity The Journey,Sci-Fi Thriller Drama,space astronaut survival,Sandra Bullock|George Clooney|Ed Harris,Alfonso Cuaron,Astronauts struggle to survive after an accident in orbit. This new chapter explores another challenge involving the same themes.,7.68,7666
76,Top Gun Maverick The Journey,Action Drama,fighter pilot aviation military,Tom Cruise|Miles Teller|Jennifer Connelly,Joseph Kosinski,An experienced pilot trains a new generation for a dangerous mission. This new chapter explores another challenge involving the same themes.,8.15,8202
77,John Wick The Journey,Action Thriller Crime,assassin revenge gunfight,Keanu Reeves|Ian McShane|Willem Dafoe,Chad Stahelski,A retired assassin returns to action after a personal loss. This new chapter explores another challenge involving the same themes.,7.37,7676
78,Mad Max Fury Road The Journey,Action Adventure Sci-Fi,desert survival chase dystopia,Tom Hardy|Charlize Theron|Nicholas Hoult,George Miller,A group escapes across a dangerous post-apocalyptic desert. This new chapter explores another challenge involving the same themes.,8.09,8425
79,The Hunger Games The Journey,Action Adventure Sci-Fi Drama,dystopia survival competition rebellion,Jennifer Lawrence|Josh Hutcherson|Woody Harrelson,Gary Ross,A young woman enters a dangerous televised survival competition. This new chapter explores another challenge involving the same themes.,7.16,7772
80,Ready Player One The Journey,Action Adventure Sci-Fi,virtual reality gaming future,Tye Sheridan|Olivia Cooke|Ben Mendelsohn,Steven Spielberg,A teenager enters a huge virtual world to compete for a valuable prize. This new chapter explores another challenge involving the same themes.,7.38,8096
81,Free Guy The Journey,Action Comedy Sci-Fi,video game virtual world hero,Ryan Reynolds|Jodie Comer|Taika Waititi,Shawn Levy,A bank employee discovers that he is a character in a video game. This new chapter explores another challenge involving the same themes.,7.05,7952
82,The Social Network The Journey,Drama Biography,technology startup friendship,Jesse Eisenberg|Andrew Garfield|Justin Timberlake,David Fincher,A college student creates a social network that changes the world. This new chapter explores another challenge involving the same themes.,7.77,8701
83,Oppenheimer The Journey,Drama Biography History,science atomic bomb war scientist,Cillian Murphy|Emily Blunt|Robert Downey Jr,Christopher Nolan,A scientist leads a major wartime research project with historic consequences. This new chapter explores another challenge involving the same themes.,8.59,9535
84,The Pursuit of Happyness The Journey,Drama Biography Family,career father son motivation,Will Smith|Jaden Smith|Thandiwe Newton,Gabriele Muccino,A struggling father works hard to build a better future for his son. This new chapter explores another challenge involving the same themes.,7.96,9137
85,Forrest Gump The Journey,Drama Romance Comedy,life friendship history journey,Tom Hanks|Robin Wright|Gary Sinise,Robert Zemeckis,A kind man experiences major events while following his own path. This new chapter explores another challenge involving the same themes.,8.78,9970
86,The Shawshank Redemption The Journey,Drama Crime,prison friendship hope,Tim Robbins|Morgan Freeman|Bob Gunton,Frank Darabont,A prisoner builds friendship and hope while serving a long sentence. This new chapter explores another challenge involving the same themes.,9.25,10507
87,Good Will Hunting The Journey,Drama Romance,genius friendship mathematics,Matt Damon|Robin Williams|Ben Affleck,Gus Van Sant,A gifted young man receives guidance while dealing with personal struggles. This new chapter explores another challenge involving the same themes.,8.27,9811
88,La La Land The Journey,Comedy Drama Romance,music jazz dreams love,Ryan Gosling|Emma Stone|John Legend,Damien Chazelle,Two artists pursue their dreams while falling in love in Los Angeles. This new chapter explores another challenge involving the same themes.,7.99,9710
89,The Notebook The Journey,Drama Romance,love relationship memory,Ryan Gosling|Rachel McAdams|James Garner,Nick Cassavetes,A lifelong love story is remembered through an old notebook. This new chapter explores another challenge involving the same themes.,7.76,9652
90,Knives Out The Journey,Comedy Crime Mystery,detective murder mansion family,Daniel Craig|Ana de Armas|Chris Evans,Rian Johnson,A detective investigates a mysterious death inside a wealthy family. This new chapter explores another challenge involving the same themes.,7.88,9891
91,The Conjuring The Journey,Horror Mystery Thriller,haunted house ghost family,Vera Farmiga|Patrick Wilson|Lili Taylor,James Wan,Paranormal investigators help a family facing supernatural activity. This new chapter explores another challenge involving the same themes.,7.45,9662
92,A Quiet Place The Journey,Horror Sci-Fi Thriller,monsters survival family silence,Emily Blunt|John Krasinski|Millicent Simmonds,John Krasinski,A family survives in silence while dangerous creatures hunt by sound. This new chapter explores another challenge involving the same themes.,7.47,9816
93,Get Out The Journey,Horror Mystery Thriller,family hypnosis mystery,Daniel Kaluuya|Allison Williams|Bradley Whitford,Jordan Peele,A young man discovers disturbing secrets while visiting his girlfriend's family. This new chapter explores another challenge involving the same themes.,7.69,10140
94,Train to Busan The Journey,Action Horror Thriller,zombies train survival outbreak,Gong Yoo|Jung Yu-mi|Ma Dong-seok,Yeon Sang-ho,Passengers fight to survive a zombie outbreak aboard a train. This new chapter explores another challenge involving the same themes.,7.56,10167
95,The Grand Budapest Hotel The Journey,Comedy Drama Adventure,hotel friendship mystery europe,Ralph Fiennes|Tony Revolori|Adrien Brody,Wes Anderson,A hotel concierge and his young assistant become involved in a mysterious adventure. This new chapter explores another challenge involving the same themes.,8.08,10746
96,Catch Me If You Can The Journey,Crime Drama Biography,con artist FBI identity fraud,Leonardo DiCaprio|Tom Hanks|Christopher Walken,Steven Spielberg,A young con artist stays ahead of an FBI agent while changing identities. This new chapter explores another challenge involving the same themes.,8.05,10857
97,The Departed The Journey,Crime Drama Thriller,police mafia undercover crime,Leonardo DiCaprio|Matt Damon|Jack Nicholson,Martin Scorsese,An undercover police officer and a criminal informant work inside rival organizations. This new chapter explores another challenge involving the same themes.,8.47,11351
98,Fight Club The Journey,Drama Thriller,identity rebellion friendship underground,Brad Pitt|Edward Norton|Helena Bonham Carter,David Fincher,A dissatisfied worker forms an underground club that grows beyond control. This new chapter explores another challenge involving the same themes.,8.79,11760
99,The Prestige The Journey,Drama Mystery Sci-Fi,magic rivalry illusion obsession,Christian Bale|Hugh Jackman|Scarlett Johansson,Christopher Nolan,Two rival magicians become obsessed with creating the perfect illusion. This new chapter explores another challenge involving the same themes.,8.46,11617
100,Memento The Journey,Mystery Thriller Drama,memory detective revenge crime,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano,Christopher Nolan,A man with short-term memory loss investigates a mysterious crime. This new chapter explores another challenge involving the same themes.,8.38,11686
101,The Truman Show The Journey,Comedy Drama Sci-Fi,television reality life mystery,Jim Carrey|Laura Linney|Ed Harris,Peter Weir,A man slowly discovers that his entire life is being filmed for television. This new chapter explores another challenge involving the same themes.,8.15,11627
102,Back to the Future The Journey,Adventure Comedy Sci-Fi,time travel car teenager,Michael J Fox|Christopher Lloyd|Lea Thompson,Robert Zemeckis,A teenager travels through time using a modified car. This new chapter explores another challenge involving the same themes.,8.47,12036
103,Alien The Journey,Horror Sci-Fi Thriller,space creature survival crew,Sigourney Weaver|Tom Skerritt|John Hurt,Ridley Scott,A space crew encounters a deadly creature aboard their spacecraft. This new chapter explores another challenge involving the same themes.,8.49,12190
104,Edge of Tomorrow The Journey,Action Sci-Fi,time loop alien war soldier,Tom Cruise|Emily Blunt|Bill Paxton,Doug Liman,A soldier relives the same battle repeatedly while fighting an alien invasion. This new chapter explores another challenge involving the same themes.,7.86,11792
105,Pacific Rim The Journey,Action Sci-Fi Adventure,robots monsters ocean battle,Charlie Hunnam|Idris Elba|Rinko Kikuchi,Guillermo del Toro,Giant robots fight enormous creatures emerging from the ocean. This new chapter explores another challenge involving the same themes.,6.88,11096
106,Men in Black The Journey,Action Comedy Sci-Fi,aliens secret agents government,Will Smith|Tommy Lee Jones|Linda Fiorentino,Barry Sonnenfeld,Secret agents protect Earth from hidden alien activity. This new chapter explores another challenge involving the same themes.,7.25,11547
107,E.T. The Journey,Adventure Sci-Fi Family,alien friendship children space,Henry Thomas|Drew Barrymore|Dee Wallace,Steven Spielberg,A child helps a stranded alien return home. This new chapter explores another challenge involving the same themes.,7.87,12211
108,Toy Story The Journey,Animation Comedy Adventure,toys friendship childhood,Tom Hanks|Tim Allen|Don Rickles,John Lasseter,Living toys learn about friendship when a new toy arrives. This new chapter explores another challenge involving the same themes.,8.29,12705
109,Finding Nemo The Journey,Animation Adventure Comedy,ocean fish family friendship,Albert Brooks|Ellen DeGeneres|Alexander Gould,Andrew Stanton,A father fish crosses the ocean to find his missing son. This new chapter explores another challenge involving the same themes.,8.16,12732
110,The Lion King The Journey,Animation Adventure Drama,lion family kingdom friendship,Matthew Broderick|Jeremy Irons|James Earl Jones,Roger Allers,A young lion learns to accept his responsibility as king. This new chapter explores another challenge involving the same themes.,8.48,13141
111,Coco The Journey,Animation Adventure Fantasy,music family mexico memory,Anthony Gonzalez|Gael Garcia Bernal|Benjamin Bratt,Lee Unkrich,A young musician enters the world of the dead to discover his family history. This new chapter explores another challenge involving the same themes.,8.35,13167
112,Inside Out The Journey,Animation Comedy Drama,emotions childhood family,Amy Poehler|Phyllis Smith|Bill Hader,Pete Docter,A girl's emotions help her adapt to a major change in her life. This new chapter explores another challenge involving the same themes.,8.07,13066
113,Up The Journey,Animation Adventure Comedy,house journey friendship,Ed Asner|Christopher Plummer|Jordan Nagai,Pete Docter,An elderly man travels to a distant place with a young companion. This new chapter explores another challenge involving the same themes.,8.29,13390
114,Ratatouille The Journey,Animation Comedy Drama,cooking chef paris food,Patton Oswalt|Ian Holm|Lou Romano,Brad Bird,A talented rat dreams of becoming a chef in Paris. This new chapter explores another challenge involving the same themes.,8.06,13332
115,Avatar The Legacy,Action Adventure Fantasy,alien planet space survival,Sam Worthington|Zoe Saldana|Sigourney Weaver,James Cameron,A marine joins an alien world and fights to protect its people. This new chapter explores another challenge involving the same themes.,7.73,13188
116,Titanic The Legacy,Drama Romance,love ship ocean tragedy,Leonardo DiCaprio|Kate Winslet|Billy Zane,James Cameron,A young couple falls in love aboard a famous ocean liner. This new chapter explores another challenge involving the same themes.,7.8,13385
117,The Avengers The Legacy,Action Adventure Sci-Fi,superhero marvel team alien,Robert Downey Jr|Chris Evans|Scarlett Johansson,Joss Whedon,Superheroes join forces to protect Earth from a powerful enemy. This new chapter explores another challenge involving the same themes.,7.92,13624
118,Iron Man The Legacy,Action Adventure Sci-Fi,superhero technology armor marvel,Robert Downey Jr|Gwyneth Paltrow|Jeff Bridges,Jon Favreau,A genius inventor creates a powerful armored suit. This new chapter explores another challenge involving the same themes.,7.84,13693
119,Interstellar The Legacy,Sci-Fi Drama Adventure,space astronaut planet time,Matthew McConaughey|Anne Hathaway|Jessica Chastain,Christopher Nolan,Astronauts travel through space searching for a new home for humanity. This new chapter explores another challenge involving the same themes.,8.61,14484
120,Inception The Legacy,Action Sci-Fi Thriller,dream heist mind technology,Leonardo DiCaprio|Joseph Gordon-Levitt|Tom Hardy,Christopher Nolan,A skilled thief enters dreams to steal valuable information. This new chapter explores another challenge involving the same themes.,8.73,14723
121,The Dark Knight The Legacy,Action Crime Drama,batman joker superhero crime,Christian Bale|Heath Ledger|Gary Oldman,Christopher Nolan,Batman faces a dangerous criminal who creates chaos in Gotham. This new chapter explores another challenge involving the same themes.,8.9,15005
122,Jurassic Park The Legacy,Adventure Sci-Fi Thriller,dinosaurs island science survival,Sam Neill|Laura Dern|Jeff Goldblum,Steven Spielberg,Scientists create a dinosaur park that becomes dangerously uncontrollable. This new chapter explores another challenge involving the same themes.,8.12,14478
123,The Matrix The Legacy,Action Sci-Fi Thriller,computer virtual reality hacker,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,The Wachowskis,A computer hacker discovers that reality is a sophisticated simulation. This new chapter explores another challenge involving the same themes.,8.64,15058
124,Guardians of the Galaxy The Legacy,Action Adventure Sci-Fi Comedy,space superhero marvel team,Chris Pratt|Zoe Saldana|Dave Bautista,James Gunn,A group of unusual heroes protects the galaxy from a powerful threat. This new chapter explores another challenge involving the same themes.,7.91,14574
125,Doctor Strange The Legacy,Action Adventure Fantasy,magic superhero marvel multiverse,Benedict Cumberbatch|Rachel McAdams|Chiwetel Ejiofor,Scott Derrickson,A surgeon learns mystical powers and protects reality from magical threats. This new chapter explores another challenge involving the same themes.,7.43,14303
126,Black Panther The Legacy,Action Adventure Sci-Fi,superhero wakanda africa marvel,Chadwick Boseman|Michael B Jordan|Lupita Nyongo,Ryan Coogler,A new king protects Wakanda from an ambitious rival. This new chapter explores another challenge involving the same themes.,7.2,14245
127,The Lord of the Rings The Legacy,Adventure Fantasy Drama,magic ring middle earth quest,Elijah Wood|Ian McKellen|Viggo Mortensen,Peter Jackson,A young hobbit begins a dangerous quest to destroy a powerful ring. This new chapter explores another challenge involving the same themes.,8.72,15674
128,Harry Potter The Legacy,Adventure Fantasy Family,magic wizard school friendship,Daniel Radcliffe|Emma Watson|Rupert Grint,Chris Columbus,A young wizard begins his education at a magical school. This new chapter explores another challenge involving the same themes.,7.54,14808
129,Star Wars The Legacy,Action Adventure Sci-Fi,space jedi rebellion empire,Mark Hamill|Harrison Ford|Carrie Fisher,George Lucas,A young hero joins a rebellion against a powerful space empire. This new chapter explores another challenge involving the same themes.,8.51,15769
130,Dune The Legacy,Sci-Fi Adventure Drama,desert space politics prophecy,Timothee Chalamet|Zendaya|Rebecca Ferguson,Denis Villeneuve,A young noble enters a dangerous desert world filled with political conflict. This new chapter explores another challenge involving the same themes.,7.93,15413
