movie_id,title,genre,keywords,cast,director,description
18,Captain Marvel,Action Adventure Sci-Fi,superhero space marvel alien,Brie Larson Samuel L Jackson Jude Law,Anna Boden Ryan Fleck,A powerful pilot discovers her identity and protects Earth from an alien conflict.
19,Ant-Man,Action Adventure Sci-Fi Comedy,superhero shrinking technology marvel,Paul Rudd Michael Douglas Evangeline Lilly,Peyton Reed,A thief becomes a tiny superhero using advanced technology.
20,Shang-Chi and the Legend of the Ten Rings,Action Adventure Fantasy,martial arts superhero rings marvel,Simu Liu Tony Leung Awkwafina,Destin Daniel Cretton,A martial artist confronts his family history and a powerful organization.
21,Man of Steel,Action Adventure Sci-Fi,superhero krypton alien superman,Henry Cavill Amy Adams Michael Shannon,Zack Snyder,An alien-born hero protects Earth while discovering his origins.
22,Wonder Woman,Action Adventure Fantasy,superhero amazon war mythology,Gal Gadot Chris Pine Robin Wright,Patty Jenkins,An Amazon warrior enters a world war to stop a dangerous enemy.
23,Aquaman,Action Adventure Fantasy,superhero ocean underwater atlantis,Jason Momoa Amber Heard Willem Dafoe,James Wan,A hero must claim his place as ruler of an underwater kingdom.
24,The Batman,Action Crime Drama,batman detective gotham mystery,Robert Pattinson Zoe Kravitz Paul Dano,Matt Reeves,A young Batman investigates a mystery involving a dangerous criminal.
25,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Drama,magic ring middle earth quest,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson,A young hobbit begins a dangerous quest to destroy a powerful ring.
26,The Lord of the Rings: The Two Towers,Adventure Fantasy Drama,magic ring war middle earth,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson,Heroes defend Middle-earth while the quest to destroy the ring continues.
27,The Lord of the Rings: The Return of the King,Adventure Fantasy Drama,magic ring war middle earth,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson,The final battle for Middle-earth begins as the ring approaches its destiny.
28,Harry Potter and the Sorcerer's Stone,Adventure Fantasy Family,magic wizard school friendship,Daniel Radcliffe Emma Watson Rupert Grint,Chris Columbus,A young wizard begins his education at a magical school.
29,Harry Potter and the Chamber of Secrets,Adventure Fantasy Mystery,magic wizard school monster,Daniel Radcliffe Emma Watson Rupert Grint,Chris Columbus,A mysterious threat appears inside a school for young wizards.
30,Harry Potter and the Prisoner of Azkaban,Adventure Fantasy Mystery,magic wizard prison mystery,Daniel Radcliffe Emma Watson Gary Oldman,Alfonso Cuaron,A young wizard learns about a dangerous prisoner connected to his past.
31,Harry Potter and the Goblet of Fire,Adventure Fantasy Mystery,magic wizard tournament dragon,Daniel Radcliffe Emma Watson Robert Pattinson,Mike Newell,A magical tournament places a young wizard in unexpected danger.
32,Harry Potter and the Order of the Phoenix,Adventure Fantasy Drama,magic wizard rebellion school,Daniel Radcliffe Emma Watson Ralph Fiennes,David Yates,Young wizards organize resistance against a growing magical threat.
33,Harry Potter and the Half-Blood Prince,Adventure Fantasy Mystery,magic wizard school dark magic,Daniel Radcliffe Emma Watson Alan Rickman,David Yates,A young wizard discovers clues about a powerful dark enemy.
34,Harry Potter and the Deathly Hallows Part 1,Adventure Fantasy Drama,magic wizard quest horcrux,Daniel Radcliffe Emma Watson Rupert Grint,David Yates,Three young wizards leave school to search for magical objects.
35,Harry Potter and the Deathly Hallows Part 2,Adventure Fantasy Action,magic wizard battle hogwarts,Daniel Radcliffe Emma Watson Rupert Grint,David Yates,The final battle between young wizards and dark forces reaches Hogwarts.
36,Star Wars: A New Hope,Action Adventure Sci-Fi,space jedi rebellion empire,Mark Hamill Harrison Ford Carrie Fisher,George Lucas,A young hero joins a rebellion against a powerful space empire.
37,Star Wars: The Empire Strikes Back,Action Adventure Sci-Fi,space jedi empire rebellion,Mark Hamill Harrison Ford Carrie Fisher,Irvin Kershner,Heroes face major challenges as the space empire strikes back.
38,Star Wars: Return of the Jedi,Action Adventure Sci-Fi,space jedi empire rebellion,Mark Hamill Harrison Ford Carrie Fisher,Richard Marquand,The rebellion attempts to defeat the empire and restore freedom.
39,Rogue One: A Star Wars Story,Action Adventure Sci-Fi,space rebellion mission empire,Felicity Jones Diego Luna Ben Mendelsohn,Gareth Edwards,A group of rebels undertakes a dangerous mission against an empire.
40,Dune,Sci-Fi Adventure Drama,desert space politics prophecy,Timothee Chalamet Zendaya Rebecca Ferguson,Denis Villeneuve,A young noble enters a dangerous desert world filled with political conflict.
41,Dune: Part Two,Sci-Fi Adventure Drama,desert war prophecy space,Timothee Chalamet Zendaya Rebecca Ferguson,Denis Villeneuve,A young leader joins desert warriors and prepares for a major conflict.
42,Blade Runner 2049,Sci-Fi Mystery Thriller,future android detective technology,Ryan Gosling Harrison Ford Ana de Armas,Denis Villeneuve,A futuristic detective discovers a secret that could change society.
43,Arrival,Sci-Fi Drama Mystery,alien language communication space,Amy Adams Jeremy Renner Forest Whitaker,Denis Villeneuve,A linguist works to communicate with mysterious visitors from space.
44,The Martian,Sci-Fi Adventure Drama,mars astronaut survival space,Matt Damon Jessica Chastain Jeff Daniels,Ridley Scott,An astronaut stranded on Mars uses science and determination to survive.
45,Gravity,Sci-Fi Thriller Drama,space astronaut survival,Sandra Bullock George Clooney Ed Harris,Alfonso Cuaron,Astronauts struggle to survive after an accident in orbit.
46,Top Gun: Maverick,Action Drama,fighter pilot aviation military,Tom Cruise Miles Teller Jennifer Connelly,Joseph Kosinski,An experienced pilot trains a new generation for a dangerous mission.
47,Mission: Impossible - Fallout,Action Thriller Spy,spy mission stunt agent,Tom Cruise Henry Cavill Rebecca Ferguson,Christopher McQuarrie,An elite agent races to stop a global threat.
48,Mission: Impossible - Ghost Protocol,Action Thriller Spy,spy mission bomb agent,Tom Cruise Jeremy Renner Simon Pegg,Brad Bird,A spy team works without official support to prevent a nuclear disaster.
49,John Wick,Action Thriller Crime,assassin revenge gunfight,Keanu Reeves Michael Nyqvist Ian McShane,Chad Stahelski,A retired assassin returns to action after a personal loss.
50,John Wick: Chapter 2,Action Thriller Crime,assassin revenge crime,Keanu Reeves Common Laurence Fishburne,Chad Stahelski,An assassin is forced back into the dangerous criminal underworld.
51,John Wick: Chapter 3,Action Thriller Crime,assassin survival chase,Keanu Reeves Halle Berry Ian McShane,Chad Stahelski,A hunted assassin fights to survive against skilled enemies.
52,Mad Max: Fury Road,Action Adventure Sci-Fi,desert survival chase dystopia,Tom Hardy Charlize Theron Nicholas Hoult,George Miller,A group escapes across a dangerous post-apocalyptic desert.
53,The Hunger Games,Action Adventure Sci-Fi Drama,dystopia survival competition rebellion,Jennifer Lawrence Josh Hutcherson Woody Harrelson,Gary Ross,A young woman enters a dangerous televised survival competition.
54,The Maze Runner,Action Sci-Fi Mystery,maze survival teenagers experiment,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster,Wes Ball,A teenager wakes inside a mysterious maze with other young survivors.
55,Ready Player One,Action Adventure Sci-Fi,virtual reality gaming future,Tye Sheridan Olivia Cooke Ben Mendelsohn,Steven Spielberg,A teenager enters a huge virtual world to compete for a valuable prize.
56,Free Guy,Action Comedy Sci-Fi,video game virtual world hero,Ryan Reynolds Jodie Comer Taika Waititi,Shawn Levy,A bank employee discovers that he is actually a character in a video game.
57,The Social Network,Drama Biography,facebook technology friendship startup,Jesse Eisenberg Andrew Garfield Justin Timberlake,David Fincher,A college student creates a social network that changes the world.
58,Steve Jobs,Drama Biography,technology apple entrepreneur,Michael Fassbender Kate Winslet Seth Rogen,Danny Boyle,A technology entrepreneur prepares for major product launches.
59,The Imitation Game,Drama Biography Thriller,computer code war mathematics,Benedict Cumberbatch Keira Knightley Matthew Goode,Morten Tyldum,A mathematician helps crack a wartime code using an early computer.
60,Hidden Figures,Drama Biography History,nasa space mathematics equality,Taraji P Henson Octavia Spencer Janelle Monae,Theodore Melfi,Three mathematicians help a space program achieve historic goals.
61,Oppenheimer,Drama Biography History,science atomic bomb war scientist,Cillian Murphy Emily Blunt Robert Downey Jr,Christopher Nolan,A scientist leads a major wartime research project with historic consequences.
62,The Pursuit of Happyness,Drama Biography Family,career father son motivation,Will Smith Jaden Smith Thandiwe Newton,Gabriele Muccino,A struggling father works hard to build a better future for his son.
63,Forrest Gump,Drama Romance Comedy,life friendship history journey,Tom Hanks Robin Wright Gary Sinise,Robert Zemeckis,A kind man experiences major events while following his own path.
64,The Shawshank Redemption,Drama Crime,prison friendship hope,Tim Robbins Morgan Freeman Bob Gunton,Frank Darabont,A prisoner builds friendship and hope while serving a long sentence.
65,The Green Mile,Drama Fantasy Crime,prison supernatural friendship,Tom Hanks Michael Clarke Duncan David Morse,Frank Darabont,A prison guard meets a mysterious prisoner with unusual abilities.
66,Good Will Hunting,Drama Romance,genius friendship mathematics,Matt Damon Robin Williams Ben Affleck,Gus Van Sant,A gifted young man receives guidance while dealing with personal struggles.
67,A Beautiful Mind,Drama Biography Romance,mathematics genius friendship,Russell Crowe Jennifer Connelly Ed Harris,Ron Howard,A brilliant mathematician faces personal challenges while pursuing his work.
68,The Theory of Everything,Drama Biography Romance,science physics love,Eddie Redmayne Felicity Jones Charlie Cox,James Marsh,A physicist and his partner face major personal and professional challenges.
69,La La Land,Comedy Drama Romance,music jazz dreams love,Ryan Gosling Emma Stone John Legend,Damien Chazelle,Two artists pursue their dreams while falling in love in Los Angeles.
70,The Notebook,Drama Romance,love relationship memory,Ryan Gosling Rachel McAdams James Garner,Nick Cassavetes,A lifelong love story is remembered through an old notebook.
71,Crazy Rich Asians,Comedy Drama Romance,wedding family wealth love,Constance Wu Henry Golding Michelle Yeoh,Jon M Chu,A young woman meets her partner's wealthy family in Singapore.
72,The Fault in Our Stars,Drama Romance,teen love illness friendship,Shailene Woodley Ansel Elgort Laura Dern,Josh Boone,Two teenagers meet and form a deep relationship while facing illness.
73,Me Before You,Drama Romance,love disability relationship,Emilia Clarke Sam Claflin Janet McTeer,Thea Sharrock,A young woman becomes a caregiver and develops a close relationship with her employer.
74,Notting Hill,Comedy Romance,love celebrity bookstore london,Hugh Grant Julia Roberts Rhys Ifans,Roger Michell,A bookstore owner falls in love with a famous actress.
75,The Proposal,Comedy Romance,office marriage alaska,Sandra Bullock Ryan Reynolds Betty White,Anne Fletcher,A boss creates a fake engagement with her assistant to solve a work problem.
76,Friends with Benefits,Comedy Romance,relationship friendship dating,Justin Timberlake Mila Kunis Patricia Clarkson,Will Gluck,Two friends try to keep romance separate from their friendship.
77,Superbad,Comedy,school friendship party teenagers,Jonah Hill Michael Cera Christopher Mintz-Plasse,Greg Mottola,High school friends try to attend a memorable party before graduation.
78,The Hangover,Comedy,las vegas wedding friendship party,Bradley Cooper Ed Helms Zach Galifianakis,Todd Phillips,Friends wake up after a wild night and try to remember what happened.
79,Jumanji: Welcome to the Jungle,Action Adventure Comedy Fantasy,game jungle teenagers survival,Dwayne Johnson Kevin Hart Jack Black,Jake Kasdan,Teenagers become characters inside a dangerous video game.
80,Pirates of the Caribbean: The Curse of the Black Pearl,Action Adventure Fantasy,pirates treasure ocean curse,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski,A pirate captain helps rescue a kidnapped woman from cursed pirates.
81,The Mummy,Action Adventure Fantasy,ancient egypt treasure curse,Brendan Fraser Rachel Weisz John Hannah,Stephen Sommers,Adventurers awaken an ancient mummy while searching for treasure.
82,National Treasure,Action Adventure Mystery,treasure history clues secret,Nicolas Cage Diane Kruger Justin Bartha,Jon Turteltaub,A historian searches for a legendary treasure using historical clues.
83,Sherlock Holmes,Action Adventure Mystery,detective london mystery crime,Robert Downey Jr Jude Law Rachel McAdams,Guy Ritchie,A famous detective investigates a dangerous mystery in Victorian London.
84,Knives Out,Comedy Crime Mystery,detective murder mansion family,Daniel Craig Ana de Armas Chris Evans,Rian Johnson,A detective investigates a mysterious death inside a wealthy family.
85,Murder on the Orient Express,Crime Drama Mystery,detective train murder mystery,Kenneth Branagh Penelope Cruz Johnny Depp,Kenneth Branagh,A detective investigates a murder aboard a luxury train.
86,The Conjuring,Horror Mystery Thriller,haunted house ghost family,Vera Farmiga Patrick Wilson Lili Taylor,James Wan,Paranormal investigators help a family facing supernatural activity.
87,Insidious,Horror Mystery Thriller,ghost house supernatural family,Patrick Wilson Rose Byrne Lin Shaye,James Wan,A family discovers that a supernatural force has entered their home.
88,A Quiet Place,Horror Sci-Fi Thriller,monsters survival family silence,Emily Blunt John Krasinski Millicent Simmonds,John Krasinski,A family survives in silence while dangerous creatures hunt by sound.
89,It,Horror Drama,clown children friendship fear,Bill Skarsgard Jaeden Martell Finn Wolfhard,Andy Muschietti,A group of children faces a terrifying supernatural creature.
90,The Exorcist,Horror Drama Mystery,demon possession priest family,Ellen Burstyn Linda Blair Max von Sydow,William Friedkin,A family seeks help when a child appears to be possessed.
91,Get Out,Horror Mystery Thriller,family racism hypnosis mystery,Daniel Kaluuya Allison Williams Bradley Whitford,Jordan Peele,A young man discovers disturbing secrets while visiting his girlfriend's family.
92,A Quiet Place Part II,Horror Sci-Fi Thriller,monsters survival family sound,Emily Blunt Cillian Murphy Millicent Simmonds,John Krasinski,A family continues searching for safety in a world ruled by creatures that hunt by sound.
93,Train to Busan,Action Horror Thriller,zombies train survival outbreak,Gong Yoo Jung Yu-mi Ma Dong-seok,Yeon Sang-ho,Passengers fight to survive a zombie outbreak aboard a train.
94,World War Z,Action Horror Sci-Fi,zombies outbreak survival world,Brad Pitt Mireille Enos Daniella Kertesz,Marc Forster,A former investigator travels the world searching for a way to stop a zombie outbreak.
95,Zombieland,Comedy Horror Action,zombie survival comedy road trip,Jesse Eisenberg Woody Harrelson Emma Stone,Ruben Fleischer,Survivors travel across a zombie-filled America while following their own rules.
96,The Grand Budapest Hotel,Comedy Drama Adventure,hotel friendship mystery europe,Ralph Fiennes Tony Revolori Adrien Brody,Wes Anderson,A hotel concierge and his young assistant become involved in a mysterious adventure.
97,The Wolf of Wall Street,Comedy Crime Drama,stock market money fraud ambition,Leonardo DiCaprio Jonah Hill Margot Robbie,Martin Scorsese,A stockbroker builds a wealthy lifestyle through risky and illegal financial schemes.
98,Catch Me If You Can,Crime Drama Biography,con artist FBI identity fraud,Leonardo DiCaprio Tom Hanks Christopher Walken,Steven Spielberg,A young con artist stays ahead of an FBI agent while changing identities.
99,The Departed,Crime Drama Thriller,police mafia undercover crime,Leonardo DiCaprio Matt Damon Jack Nicholson,Martin Scorsese,An undercover police officer and a criminal informant work inside rival organizations.
100,Fight Club,Drama Thriller,identity rebellion friendship underground,Brad Pitt Edward Norton Helena Bonham Carter,David Fincher,A dissatisfied worker forms an underground club that grows beyond control.
101,The Prestige,Drama Mystery Sci-Fi,magic rivalry illusion obsession,Christian Bale Hugh Jackman Scarlett Johansson,Christopher Nolan,Two rival magicians become obsessed with creating the perfect illusion.
102,Memento,Mystery Thriller Drama,memory detective revenge crime,Guy Pearce Carrie-Anne Moss Joe Pantoliano,Christopher Nolan,A man with short-term memory loss investigates a mysterious crime.
103,Shutter Island,Mystery Thriller Drama,island detective mental mystery,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,Martin Scorsese,A detective investigates a disappearance at an isolated hospital.
104,Gone Girl,Mystery Thriller Drama,marriage disappearance media crime,Ben Affleck Rosamund Pike Neil Patrick Harris,David Fincher,A man's life changes when his wife disappears under suspicious circumstances.
105,The Girl with the Dragon Tattoo,Crime Mystery Thriller,hacker investigation murder mystery,Daniel Craig Rooney Mara Christopher Plummer,David Fincher,A journalist and hacker investigate a decades-old disappearance.
106,The Truman Show,Comedy Drama Sci-Fi,television reality life mystery,Jim Carrey Laura Linney Ed Harris,Peter Weir,A man slowly discovers that his entire life is being filmed for television.
107,Back to the Future,Adventure Comedy Sci-Fi,time travel car teenager,Michael J Fox Christopher Lloyd Lea Thompson,Robert Zemeckis,A teenager travels through time using a modified car.
108,Terminator 2: Judgment Day,Action Sci-Fi,robot time travel future,Arnold Schwarzenegger Linda Hamilton Edward Furlong,James Cameron,A future soldier and a reprogrammed robot protect a young target.
109,Alien,Horror Sci-Fi Thriller,space creature survival crew,Sigourney Weaver Tom Skerritt John Hurt,Ridley Scott,A space crew encounters a deadly creature aboard their spacecraft.
110,Aliens,Action Horror Sci-Fi,space marines alien survival,Sigourney Weaver Michael Biehn Paul Reiser,James Cameron,A team of space marines confronts a dangerous alien colony.
111,Edge of Tomorrow,Action Sci-Fi,time loop alien war soldier,Tom Cruise Emily Blunt Bill Paxton,Doug Liman,A soldier relives the same battle repeatedly while fighting an alien invasion.
112,Pacific Rim,Action Sci-Fi Adventure,robots monsters ocean battle,Charlie Hunnam Idris Elba Rinko Kikuchi,Guillermo del Toro,Giant robots fight enormous creatures emerging from the ocean.
113,The Fifth Element,Action Sci-Fi Adventure,future space alien mission,Bruce Willis Milla Jovovich Gary Oldman,Luc Besson,A cab driver becomes involved in a mission to save the future.
114,Men in Black,Action Comedy Sci-Fi,aliens secret agents government,Will Smith Tommy Lee Jones Linda Fiorentino,Barry Sonnenfeld,Secret agents protect Earth from hidden alien activity.
115,E.T. the Extra-Terrestrial,Adventure Sci-Fi Family,alien friendship children space,Henry Thomas Drew Barrymore Dee Wallace,Steven Spielberg,A child helps a stranded alien return home.
116,How to Train Your Dragon,Animation Adventure Fantasy,dragon friendship vikings flying,Jay Baruchel Gerard Butler America Ferrera,Chris Sanders Dean DeBlois,A young Viking becomes friends with a dragon and changes his village.
117,Toy Story,Animation Comedy Adventure,toys friendship childhood,Tom Hanks Tim Allen Don Rickles,John Lasseter,Living toys learn about friendship when a new toy arrives.
118,Finding Nemo,Animation Adventure Comedy,ocean fish family friendship,Albert Brooks Ellen DeGeneres Alexander Gould,Andrew Stanton,A father fish crosses the ocean to find his missing son.
119,The Lion King,Animation Adventure Drama,lion family kingdom friendship,Matthew Broderick Jeremy Irons James Earl Jones,Roger Allers Rob Minkoff,A young lion learns to accept his responsibility as king.
120,Coco,Animation Adventure Fantasy,music family mexico memory,Anthony Gonzalez Gael Garcia Bernal Benjamin Bratt,Lee Unkrich Adrian Molina,A young musician enters the world of the dead to discover his family history.
121,Inside Out,Animation Comedy Drama,emotions childhood family,Amy Poehler Phyllis Smith Bill Hader,Pete Docter,A girl's emotions help her adapt to a major change in her life.
122,Up,Animation Adventure Comedy,house journey friendship,Ed Asner Christopher Plummer Jordan Nagai,Pete Docter,An elderly man travels to a distant place with a young companion.
123,Ratatouille,Animation Comedy Drama,cooking chef paris food,Patton Oswalt Ian Holm Lou Romano,Brad Bird,A talented rat dreams of becoming a chef in Paris.
